Date,GLD,SPY
2017-01-04,0.0035241475629946054,0.005931846261196755
2017-01-05,0.015395946803090798,-0.0007949965443067367
2017-01-06,-0.007399862806678017,0.0035716645290050633
2017-01-09,0.008198942430912352,-0.003306465735191092
2017-01-10,0.004251209640407789,0.0
2017-01-11,0.003088451356458922,0.0028222207008494
2017-01-12,0.0036058581395100996,-0.002513287029252524
2017-01-13,0.002630155985373185,0.0022930839937134384
2017-01-17,0.014257386660884261,-0.003529781239761467
2017-01-18,-0.008495159639561354,0.0022076215064410405
2017-01-19,-0.0008709816243124942,-0.003711389922163594
2017-01-20,0.0024367465635149513,0.003667238579749553
2017-01-23,0.006411370524106662,-0.0026055798995280924
2017-01-24,-0.00450104004040464,0.00639138411497125
2017-01-25,-0.00827564253844338,0.008618216128934495
2017-01-26,-0.00931545140516917,-0.001046064893026366
2017-01-27,0.002028628943019752,-0.0015709979758397473
2017-01-30,0.004220558088409409,-0.006221027396758361
2017-01-31,0.013768096552717091,-8.776178899942126e-05
2017-02-01,-0.003033641360264487,0.00039544815377682635
2017-02-02,0.005540175253055282,0.0006588103266743148
2017-02-03,0.002500332582847749,0.006869104550834946
2017-02-06,0.013428758731216857,-0.0017891704147334573
2017-02-07,-0.002041146037959061,4.357501427848196e-05
2017-02-08,0.006195677380773958,0.0013095974610025484
2017-02-09,-0.0076440113416854985,0.005914706945411024
2017-02-10,0.0026395141502793757,0.003938789509423412
2017-02-13,-0.00682592596717586,0.005427646008635863
2017-02-14,0.0011123712399388251,0.003987593040366417
2017-02-15,0.0044372173593291335,0.005206999728779765
2017-02-16,0.005349691237603948,-0.0008521359362008927
2017-02-17,-0.0033932974726115484,0.0015752024987872796
2017-02-21,0.0005946540100771037,0.005937589775832371
2017-02-22,0.0013579197505681978,-0.0008883232094117396
2017-02-23,0.00869753215772035,0.0006770880314249583
2017-02-24,0.006369402264058673,0.0012677845746432526
2017-02-27,-0.004857175635850916,0.0015614748789186926
2017-02-28,0.0009230175401251751,-0.0027026173406861542
2017-03-01,-0.0014268817535848305,0.013900515358192584
2017-03-02,-0.012508578672613836,-0.006317282754297436
2017-03-03,-0.0005955140219629334,0.0006291508224619499
2017-03-06,-0.006745539852068352,-0.0029823590853757177
2017-03-07,-0.008086086565359004,-0.002991131427970816
2017-03-08,-0.006238117890961693,-0.0018585412321651168
2017-03-09,-0.005140919622256575,0.0012675888562608227
2017-03-10,0.0021815968976861885,0.003498073210779406
2017-03-13,0.00017429306368713733,0.0005049212132552251
2017-03-14,-0.005418130142925278,-0.003834168392162664
2017-03-15,0.018492494054676123,0.008616144971278144
2017-03-16,0.004120559955210867,-0.0019689933569636137
2017-03-17,0.0022248383768926597,-0.0017574831518820699
2017-03-20,0.004435011725417898,-0.0010973015138636601
2017-03-21,0.008727009558066982,-0.012922976882403264
2017-03-22,0.0024434516279076965,0.002350518560893078
2017-03-23,-0.001347399463717088,-0.0010678962714605344
2017-03-24,0.0015998188263156232,-0.0007265722777438836
2017-03-27,0.005621040603803889,-0.0010265470232872199
2017-03-28,-0.0041077969016607725,0.007250307272871699
2017-03-29,0.0024332009503229184,0.0009345012408301866
2017-03-30,-0.007233005455458062,0.0031789722048705237
2017-03-31,0.002108015430704589,-0.002330351958620979
2017-04-03,0.005292550298656713,-0.0017406150383974946
2017-04-04,0.0022597345773738855,0.0006370819151228572
2017-04-05,0.0,-0.0029769511262886347
2017-04-06,-0.003685116697841802,0.002807171864261239
2017-04-07,0.002346621760815808,-0.0010199528538029287
2017-04-10,0.0,0.0005952294106280849
2017-04-11,0.014378002485395934,-0.0011905893599379407
2017-04-12,0.006825356086692966,-0.004391684270505093
2017-04-13,0.0047420728437496,-0.006515891080112361
2017-04-17,-0.0029407031136137306,0.008820832735661137
2017-04-18,0.004733558474010278,-0.002988667078712425
2017-04-19,-0.008914361418128501,-0.0018404661359156258
2017-04-20,0.001887609614885789,0.0081064651895224
2017-04-21,0.002865670925194773,-0.0031921986986242113
2017-04-24,-0.006809117727285548,0.01093784641959908
2017-04-25,-0.010176758825308857,0.005801841652289007
2017-04-26,0.004894417227160271,-0.0006290276593970185
2017-04-27,-0.003730858335881937,0.0008383704847817804
2017-04-28,0.003151414614046289,-0.0021813448735627516
2017-05-01,-0.009149943206636764,0.0025168198720192723
2017-05-02,-0.00016711217732273407,0.00037703603301930547
2017-05-03,-0.014055680078894413,-0.0012154931255227272
2017-05-04,-0.010137688898777003,0.0011735990856861806
2017-05-05,0.0018819613581217375,0.003929143534263574
2017-05-08,-0.0022245229386793674,-0.00016693645002426486
2017-05-09,-0.006013737531638919,-0.0009182091977410111
2017-05-10,-8.619187440805963e-05,0.0017942416649888784
2017-05-11,0.003956305862795571,-0.002044928710062249
2017-05-12,0.0028286293961141936,-0.0016724143132074516
2017-05-15,0.00264989304932151,0.005508371150109562
2017-05-16,0.004344332691827055,-0.0009157624208171366
2017-05-17,0.018026089242991115,-0.017903597645779624
2017-05-18,-0.008214659464641129,0.004020724160509362
2017-05-19,0.0049536558166890015,0.006483053970499291
2017-05-22,0.004178861021674379,0.00506431727653255
2017-05-23,-0.006358807682167539,0.00221064694010323
2017-05-24,0.003937188086656905,0.0023298404313780285
2017-05-25,-0.0010874337201151904,0.004768100373353926
2017-05-26,0.008832634206008617,-0.00020682402474515702
2017-05-30,-0.0033239313084347183,-0.000869288187802748
2017-05-31,0.003987406451696997,-0.0002482577096369667
2017-06-01,0.0008286937780719529,0.007920902591413544
2017-06-02,0.007345383440385594,0.003322664001908214
2017-06-05,0.0009862969865506888,-0.0007373123921700094
2017-06-06,0.011191515796581182,-0.0032020869254877618
2017-06-07,-0.005294262319270497,0.0018485618791895739
2017-06-08,-0.006554676702975053,0.0004922196844969314
2017-06-09,-0.009166426122606205,-0.0015186964968616316
2017-06-12,-0.0014943988172197275,-0.00020534975107527824
2017-06-13,0.0009965350816834196,0.00487797160496052
2017-06-14,-0.005493177805750778,-0.0012686538964784462
2017-06-15,-0.00418165701990386,-0.0019260165544204462
2017-06-16,0.00016757431865917162,0.00021839158071382063
2017-06-19,-0.00765446009733337,0.008290716762429666
2017-06-20,-0.0021131828104241023,-0.00676719034477334
2017-06-21,0.002872805881766109,-0.00024666758118162155
2017-06-22,0.0033692883509404193,-0.0004528134726753888
2017-06-23,0.004279445503073095,0.001193423870208169
2017-06-26,-0.00899959554685728,0.0006575172416891787
2017-06-27,0.003794725232620457,-0.008088637367636596
2017-06-28,0.000757258608664271,0.008910553993499758
2017-06-29,-0.004890000706728738,-0.008827410936995128
2017-06-30,-0.002538742638049931,0.0018625017682523779
2017-07-03,-0.01648835238074312,0.001694301361843755
2017-07-05,0.0036971824767883434,0.0023095481039537694
2017-07-06,-0.0004291636859008885,-0.009186877793311477
2017-07-07,-0.010269798493159019,0.006464248033799482
2017-07-10,0.0016468254331296226,0.0010733837816356959
2017-07-11,0.0012982088742114774,-0.0007428615430371964
2017-07-12,0.0035397924292921755,0.007486493265518319
2017-07-13,-0.0018115086761426493,0.0016789689975386989
2017-07-14,0.008168900176639902,0.004653230441290432
2017-07-17,0.004443348999716993,-0.00012218766575520514
2017-07-18,0.006966890452323186,0.000529253610832259
2017-07-19,-0.0002540224323477312,0.005399586398031888
2017-07-20,0.00135406277392805,0.0004448534967516601
2017-07-21,0.008589562474350264,-0.0008902586633326025
2017-07-24,0.0004191258176561492,-0.00024336639227429216
2017-07-25,-0.0032741446924645485,0.0024280383151455477
2017-07-26,0.008040236804836134,4.072560033330194e-05
2017-07-27,-0.0007510021513585564,-0.0009303973014011768
2017-07-28,0.00748507747253413,-0.00117383433420255
2017-07-31,0.0004969976741389874,-0.0005670526042460298
2017-08-01,-0.0008284878144892227,0.002226177080808054
2017-08-02,-0.002074259170059369,0.00048533705951826485
2017-08-03,0.0015767861990997622,-0.0019418438635831286
2017-08-04,-0.007825504639997654,0.0018205846193581681
2017-08-07,-0.0011707593535363761,0.0018574362269502256
2017-08-08,0.0029243323685439523,-0.002463811845789532
2017-08-09,0.012024832535234332,-4.0824237115108954e-05
2017-08-10,0.007391636301004261,-0.014215585233279697
2017-08-11,0.004734717669981235,0.0014755416357248705
2017-08-14,-0.007110509708619983,0.00986431392174756
2017-08-15,-0.007739806493235807,-0.00012134775074733359
2017-08-16,0.007329654945785988,0.0017426505205558347
2017-08-17,0.005074451187161252,-0.015713448706330364
2017-08-18,-0.0015523089133794997,-0.0015646840071273844
2017-08-21,0.003754179507042542,0.0007825401882710803
2017-08-22,-0.004490378194735464,0.010402905968561811
2017-08-23,0.003756939159508119,-0.003592100906815319
2017-08-24,-0.003102527430184758,-0.002333064653025251
2017-08-25,0.0036729988686282277,0.0023330646530252447
2017-08-28,0.015762397031869272,4.127326450608281e-05
2017-08-29,-0.002167752218151974,0.0011439765110305518
2017-08-30,-0.0004823342716563527,0.004726290809546637
2017-08-31,0.011671721617894353,0.005998034308280078
2017-09-01,0.0019056530015576626,0.0014133675992421266
2017-09-05,0.011044617985341777,-0.00720797209149119
2017-09-06,-0.005112698708954078,0.003407854534442643
2017-09-07,0.010355527635419215,-0.00012124152181871144
2017-09-08,-0.0012495406412696415,-0.0011755455628299067
2017-09-11,-0.014007143976598416,0.01060932904271302
2017-09-12,0.0029277577169540335,0.0033649220471098132
2017-09-13,-0.007534611170577271,0.00047983004100822497
2017-09-14,0.004369098124020519,-0.0003199076637766951
2017-09-15,-0.005006207576558888,0.0013453378549962921
2017-09-18,-0.009364174007229185,0.002124747705887678
2017-09-19,0.002088539057238403,0.0010005867614050177
2017-09-20,-0.008056762706663206,0.0003598995739721778
2017-09-21,-0.007633024715442955,-0.0026828988474257207
2017-09-22,0.0045543146609353605,0.00020044842127588846
