Date,APA,CCL,GDX,OXY,SPY,TQQQ,USO,XLE
2018-01-03,0.022984497009542245,0.0022445920951522243,-0.010550751079383334,0.0136929395798161,0.006305182152516171,0.02885819089946706,0.022123021016935106,0.014864847058723051
2018-01-04,0.032768388412483446,-0.0007477207473914675,0.006343659066074772,-0.0005333387472937527,0.004205855995676302,0.005845348940871371,0.0024281463103586875,0.0060181848654685755
2018-01-05,-0.009653499750689371,-0.00826135003979225,-0.002110114141952593,-0.005484685210931291,0.006642332954294827,0.02975338316646069,-0.004862202869080574,-0.0004003278372900657
2018-01-08,-0.010183169354257907,-0.0037776512076787764,-0.01061814720751929,0.00854837313559596,0.001826447255753689,0.011060377268981911,0.005670302216639084,0.005984571035583459
2018-01-09,-0.03028919876669827,0.023639512617523204,-0.013324648937886562,-0.0039978401515826665,0.0022609498454742912,0.0007627479529073702,0.015230721823584602,-0.00252224409861913
2018-01-10,-0.012649394124983577,0.004720460874366018,0.006039656056331007,-0.008582575713625553,-0.0015310769193524793,-0.007140915417472598,0.008712974752519545,-0.001197213614444134
2018-01-11,0.04467911949236783,0.01243163983251883,0.005575655802849605,0.020924177295008443,0.007269516188915664,0.019830156232497967,0.0015760053694820746,0.020288051641646612
2018-01-12,0.024904722592951227,0.012852989685514018,0.02658962463304371,0.009320704326766138,0.006498301560915275,0.02098179052599,0.013297034269914658,0.009604141084357176
2018-01-16,-0.019052019893529303,-0.016931069188261927,0.014882404497372588,-0.016601147246515166,-0.003424287095641951,-0.007770319567617608,-0.008583716861875436,-0.012739186911451508
2018-01-17,0.0056030322977688885,0.013481338629366143,-0.017802133095907547,0.007807918029942194,0.009486589085838675,0.031024765387489436,0.001566132201023957,0.008727119596863916
2018-01-18,0.0036469826881914223,-0.006210865419533713,-0.013880387348836724,-0.006215088122601728,-0.0016824608227439207,0.000959870079586825,-0.001566132201023956,-0.008203716899017274
2018-01-19,-0.008648686918210401,-0.006686888577464174,0.001692787201705293,0.0021201836890809432,0.0045396843918842555,0.009547794941988716,-0.003139716949284924,-0.001308631495054695
2018-01-22,0.034364721765015704,0.004366153406751737,0.0025336006705755413,0.02715934821602854,0.008098108723716886,0.0307608552413775,0.004705849150308774,0.021372423066009137
2018-01-23,0.002305474817962169,-0.005095702620058906,0.016315058638545137,-0.002708831149767383,0.0021200304186191022,0.0250239980844399,0.014757590861425557,-0.0015390366595837228
2018-01-24,0.007300171936599479,0.03809158910729807,0.02053458805417945,0.0018066424300396807,-0.00038828403333274696,-0.020484634796612947,0.019091835705849852,-0.0026986442186850276
2018-01-25,-0.014021262536745354,-0.005777601672613487,-0.019290553242628176,-0.010628735505686498,0.00042343640850795025,-0.0012621369744446008,-0.012176698644190704,-0.007881887697876695
2018-01-26,0.013189467362541807,0.01249953781784456,0.009075966952816133,0.005717075956157503,0.011511295019701112,0.04369045475317201,0.013688377243514108,0.005433607304108883
2018-01-29,-0.030193331106345478,0.004039244074611923,-0.02790097049059717,-0.012254173892826055,-0.00665234246894733,-0.013331124827381685,-0.009867261633959267,-0.015210266810739895
2018-01-30,-0.04561195767172247,-0.002087175075568471,-0.009760250795495484,-0.019603187340767103,-0.010309547762791273,-0.025891980528923816,-0.01614798979142569,-0.02037897968188523
2018-01-31,0.006708683017489001,-0.002510536840103594,0.012711902418015479,0.002805016192034657,0.0004962865111689224,0.012268010879594279,0.006182394212767231,0.0006680617921313206
2018-02-01,-0.004020017506241473,-0.007006705983978403,-0.00210753353041109,0.014960219724891094,-0.001135564580251923,-0.025324935291851612,0.019832857212617874,0.010234918761648247
2018-02-02,-0.042744430167941716,-0.016447465585747813,-0.0339014638935457,-0.03367484533336459,-0.02201012030784167,-0.06302669436243202,-0.015220979648588694,-0.04268625971839236
2018-02-05,-0.045141995157554356,-0.02768505963359173,-0.00876817049767889,-0.036961911452871914,-0.0427225423544014,-0.12265868819165027,-0.02092284768187551,-0.04285985441904929
2018-02-06,0.004631236321499293,0.017916121370960505,-0.026775266780392465,0.004362598891017781,0.019510656947086324,0.07427242870165399,-0.00549672744519776,0.007891725446969861
2018-02-07,-0.038928709775809686,-0.002167532063783876,-0.014120196905273035,-0.019137677422604076,-0.005439687204328631,-0.040347561255815685,-0.026327801293144725,-0.016862759636132006
